adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
triton.language.atomic_or.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
triton.language.atomic_xchg.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
triton.language.atomic_xor.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,
triton.language.broadcast_to.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,
triton.language.cast.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.cat.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.cdiv.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,
triton.language.ceil.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.clamp.ttadapter,False,False,False,11008,11008,11008,1.34375,1.34375,1.34375,True,True,0,0,True,
triton.language.cos.ttadapter,False,False,False,24576,24576,24576,3.0,3.0,3.0,True,True,0,0,True,
triton.language.cumprod.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.cumsum.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.debug_barrier.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.device_assert.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,
triton.language.device_print.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.div_rn.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
triton.language.dot.ttadapter,False,False,False,,,,,,,True,True,0,0,False,
triton.language.dot_scaled.ttadapter,False,False,False,60160,60160,60160,7.34375,7.34375,7.34375,True,True,0,0,True,
triton.language.eq.ttadapter,False,False,False,2560,2560,2560,0.3125,0.3125,0.3125,True,True,0,0,True,
